Notes,County,County Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Warren County, IL",17187,Alcohol-induced causes,A,Suppressed,191500,Suppressed
,"Warren County, IL",17187,All other non-drug and non-alcohol causes,O,2092,191500,1092.4
,"Washington County, IL",17189,Drug-induced causes,D,22,156732,14
,"Washington County, IL",17189,Alcohol-induced causes,A,11,156732,Unreliable
,"Washington County, IL",17189,All other non-drug and non-alcohol causes,O,1683,156732,1073.8
,"Wayne County, IL",17191,Drug-induced causes,D,16,181032,Unreliable
,"Wayne County, IL",17191,Alcohol-induced causes,A,18,181032,Unreliable
,"Wayne County, IL",17191,All other non-drug and non-alcohol causes,O,2294,181032,1267.2
,"White County, IL",17193,Drug-induced causes,D,21,155942,13.5
,"White County, IL",17193,Alcohol-induced causes,A,Suppressed,155942,Suppressed
,"White County, IL",17193,All other non-drug and non-alcohol causes,O,2486,155942,1594.2
,"Whiteside County, IL",17195,Drug-induced causes,D,75,624355,12
,"Whiteside County, IL",17195,Alcohol-induced causes,A,70,624355,11.2
,"Whiteside County, IL",17195,All other non-drug and non-alcohol causes,O,7289,624355,1167.4
,"Will County, IL",17197,Drug-induced causes,D,1191,7551103,15.8
,"Will County, IL",17197,Alcohol-induced causes,A,446,7551103,5.9
,"Will County, IL",17197,All other non-drug and non-alcohol causes,O,47363,7551103,627.2
,"Williamson County, IL",17199,Drug-induced causes,D,139,736007,18.9
,"Williamson County, IL",17199,Alcohol-induced causes,A,45,736007,6.1
,"Williamson County, IL",17199,All other non-drug and non-alcohol causes,O,8240,736007,1119.6
,"Winnebago County, IL",17201,Drug-induced causes,D,1096,3166213,34.6
,"Winnebago County, IL",17201,Alcohol-induced causes,A,513,3166213,16.2
,"Winnebago County, IL",17201,All other non-drug and non-alcohol causes,O,30713,3166213,970
,"Woodford County, IL",17203,Drug-induced causes,D,46,427062,10.8
,"Woodford County, IL",17203,Alcohol-induced causes,A,18,427062,Unreliable
,"Woodford County, IL",17203,All other non-drug and non-alcohol causes,O,4174,427062,977.4
,"Adams County, IN",18001,Drug-induced causes,D,46,385482,11.9
,"Adams County, IN",18001,Alcohol-induced causes,A,21,385482,5.4
,"Adams County, IN",18001,All other non-drug and non-alcohol causes,O,3470,385482,900.2
,"Allen County, IN",18003,Drug-induced causes,D,784,4051568,19.4
,"Allen County, IN",18003,Alcohol-induced causes,A,430,4051568,10.6
,"Allen County, IN",18003,All other non-drug and non-alcohol causes,O,34426,4051568,849.7
,"Bartholomew County, IN",18005,Drug-induced causes,D,177,889180,19.9
,"Bartholomew County, IN",18005,Alcohol-induced causes,A,74,889180,8.3
,"Bartholomew County, IN",18005,All other non-drug and non-alcohol causes,O,7994,889180,899
,"Benton County, IN",18007,Drug-induced causes,D,11,96064,Unreliable
,"Benton County, IN",18007,Alcohol-induced causes,A,Suppressed,96064,Suppressed
,"Benton County, IN",18007,All other non-drug and non-alcohol causes,O,978,96064,1018.1
,"Blackford County, IN",18009,Drug-induced causes,D,43,134637,31.9
,"Blackford County, IN",18009,Alcohol-induced causes,A,Suppressed,134637,Suppressed
,"Blackford County, IN",18009,All other non-drug and non-alcohol causes,O,1710,134637,1270.1
,"Boone County, IN",18011,Drug-induced causes,D,143,693518,20.6
,"Boone County, IN",18011,Alcohol-induced causes,A,45,693518,6.5
,"Boone County, IN",18011,All other non-drug and non-alcohol causes,O,5556,693518,801.1
,"Brown County, IN",18013,Drug-induced causes,D,31,165771,18.7
,"Brown County, IN",18013,Alcohol-induced causes,A,Suppressed,165771,Suppressed
,"Brown County, IN",18013,All other non-drug and non-alcohol causes,O,1700,165771,1025.5
,"Carroll County, IN",18015,Drug-induced causes,D,34,220767,15.4
,"Carroll County, IN",18015,Alcohol-induced causes,A,Suppressed,220767,Suppressed
,"Carroll County, IN",18015,All other non-drug and non-alcohol causes,O,1985,220767,899.1
,"Cass County, IN",18017,Drug-induced causes,D,55,420227,13.1
,"Cass County, IN",18017,Alcohol-induced causes,A,34,420227,8.1
,"Cass County, IN",18017,All other non-drug and non-alcohol causes,O,4453,420227,1059.7
,"Clark County, IN",18019,Drug-induced causes,D,448,1264256,35.4
,"Clark County, IN",18019,Alcohol-induced causes,A,104,1264256,8.2
,"Clark County, IN",18019,All other non-drug and non-alcohol causes,O,12687,1264256,1003.5
,"Clay County, IN",18021,Drug-induced causes,D,42,291637,14.4
,"Clay County, IN",18021,Alcohol-induced causes,A,19,291637,Unreliable
,"Clay County, IN",18021,All other non-drug and non-alcohol causes,O,3307,291637,1133.9
,"Clinton County, IN",18023,Drug-induced causes,D,72,359280,20
,"Clinton County, IN",18023,Alcohol-induced causes,A,26,359280,7.2
,"Clinton County, IN",18023,All other non-drug and non-alcohol causes,O,4009,359280,1115.8
,"Crawford County, IN",18025,Drug-induced causes,D,29,116664,24.9
,"Crawford County, IN",18025,Alcohol-induced causes,A,11,116664,Unreliable
,"Crawford County, IN",18025,All other non-drug and non-alcohol causes,O,1285,116664,1101.5
,"Daviess County, IN",18027,Drug-induced causes,D,34,359817,9.4
,"Daviess County, IN",18027,Alcohol-induced causes,A,22,359817,6.1
,"Daviess County, IN",18027,All other non-drug and non-alcohol causes,O,3689,359817,1025.2
,"Dearborn County, IN",18029,Drug-induced causes,D,160,546778,29.3
,"Dearborn County, IN",18029,Alcohol-induced causes,A,38,546778,6.9
,"Dearborn County, IN",18029,All other non-drug and non-alcohol causes,O,5091,546778,931.1
,"Decatur County, IN",18031,Drug-induced causes,D,65,290320,22.4
,"Decatur County, IN",18031,Alcohol-induced causes,A,18,290320,Unreliable
,"Decatur County, IN",18031,All other non-drug and non-alcohol causes,O,2982,290320,1027.1
,"De Kalb County, IN",18033,Drug-induced causes,D,72,470238,15.3
,"De Kalb County, IN",18033,Alcohol-induced causes,A,46,470238,9.8
,"De Kalb County, IN",18033,All other non-drug and non-alcohol causes,O,4539,470238,965.3
,"Delaware County, IN",18035,Drug-induced causes,D,381,1277253,29.8
,"Delaware County, IN",18035,Alcohol-induced causes,A,135,1277253,10.6
,"Delaware County, IN",18035,All other non-drug and non-alcohol causes,O,13737,1277253,1075.5
,"Dubois County, IN",18037,Drug-induced causes,D,36,466279,7.7
,"Dubois County, IN",18037,Alcohol-induced causes,A,30,466279,6.4
,"Dubois County, IN",18037,All other non-drug and non-alcohol causes,O,4497,466279,964.4
,"Elkhart County, IN",18039,Drug-induced causes,D,265,2229002,11.9
,"Elkhart County, IN",18039,Alcohol-induced causes,A,245,2229002,11
,"Elkhart County, IN",18039,All other non-drug and non-alcohol causes,O,18323,2229002,822
,"Fayette County, IN",18041,Drug-induced causes,D,141,258935,54.5
,"Fayette County, IN",18041,Alcohol-induced causes,A,30,258935,11.6
,"Fayette County, IN",18041,All other non-drug and non-alcohol causes,O,3469,258935,1339.7
,"Floyd County, IN",18043,Drug-induced causes,D,251,843351,29.8
,"Floyd County, IN",18043,Alcohol-induced causes,A,103,843351,12.2
,"Floyd County, IN",18043,All other non-drug and non-alcohol causes,O,8299,843351,984.1
,"Fountain County, IN",18045,Drug-induced causes,D,34,183900,18.5
,"Fountain County, IN",18045,Alcohol-induced causes,A,10,183900,Unreliable
,"Fountain County, IN",18045,All other non-drug and non-alcohol causes,O,2308,183900,1255
,"Franklin County, IN",18047,Drug-induced causes,D,65,251443,25.9
,"Franklin County, IN",18047,Alcohol-induced causes,A,13,251443,Unreliable
,"Franklin County, IN",18047,All other non-drug and non-alcohol causes,O,2310,251443,918.7
,"Fulton County, IN",18049,Drug-induced causes,D,40,223991,17.9
,"Fulton County, IN",18049,Alcohol-induced causes,A,14,223991,Unreliable
,"Fulton County, IN",18049,All other non-drug and non-alcohol causes,O,2653,223991,1184.4
,"Gibson County, IN",18051,Drug-induced causes,D,31,369827,8.4
,"Gibson County, IN",18051,Alcohol-induced causes,A,32,369827,8.7
,"Gibson County, IN",18051,All other non-drug and non-alcohol causes,O,3953,369827,1068.9
,"Grant County, IN",18053,Drug-induced causes,D,237,745216,31.8
,"Grant County, IN",18053,Alcohol-induced causes,A,70,745216,9.4
,"Grant County, IN",18053,All other non-drug and non-alcohol causes,O,9024,745216,1210.9
,"Greene County, IN",18055,Drug-induced causes,D,68,357467,19
,"Greene County, IN",18055,Alcohol-induced causes,A,24,357467,6.7
,"Greene County, IN",18055,All other non-drug and non-alcohol causes,O,4207,357467,1176.9
,"Hamilton County, IN",18057,Drug-induced causes,D,366,3408342,10.7
,"Hamilton County, IN",18057,Alcohol-induced causes,A,191,3408342,5.6
,"Hamilton County, IN",18057,All other non-drug and non-alcohol causes,O,17534,3408342,514.4
,"Hancock County, IN",18059,Drug-induced causes,D,169,810311,20.9
,"Hancock County, IN",18059,Alcohol-induced causes,A,59,810311,7.3
,"Hancock County, IN",18059,All other non-drug and non-alcohol causes,O,6902,810311,851.8
,"Harrison County, IN",18061,Drug-induced causes,D,97,437145,22.2
,"Harrison County, IN",18061,Alcohol-induced causes,A,45,437145,10.3
,"Harrison County, IN",18061,All other non-drug and non-alcohol causes,O,4272,437145,977.3
,"Hendricks County, IN",18063,Drug-induced causes,D,280,1746854,16
,"Hendricks County, IN",18063,Alcohol-induced causes,A,96,1746854,5.5
,"Hendricks County, IN",18063,All other non-drug and non-alcohol causes,O,12210,1746854,699
,"Henry County, IN",18065,Drug-induced causes,D,111,536368,20.7
,"Henry County, IN",18065,Alcohol-induced causes,A,73,536368,13.6
,"Henry County, IN",18065,All other non-drug and non-alcohol causes,O,6394,536368,1192.1
,"Howard County, IN",18067,Drug-induced causes,D,304,909272,33.4
,"Howard County, IN",18067,Alcohol-induced causes,A,146,909272,16.1
,"Howard County, IN",18067,All other non-drug and non-alcohol causes,O,10829,909272,1191
,"Huntington County, IN",18069,Drug-induced causes,D,75,403341,18.6
,"Huntington County, IN",18069,Alcohol-induced causes,A,30,403341,7.4
,"Huntington County, IN",18069,All other non-drug and non-alcohol causes,O,4530,403341,1123.1
,"Jackson County, IN",18071,Drug-induced causes,D,144,480126,30
,"Jackson County, IN",18071,Alcohol-induced causes,A,45,480126,9.4
,"Jackson County, IN",18071,All other non-drug and non-alcohol causes,O,5097,480126,1061.6
,"Jasper County, IN",18073,Drug-induced causes,D,54,367936,14.7
,"Jasper County, IN",18073,Alcohol-induced causes,A,21,367936,5.7
,"Jasper County, IN",18073,All other non-drug and non-alcohol causes,O,3571,367936,970.5
,"Jay County, IN",18075,Drug-induced causes,D,67,231166,29
,"Jay County, IN",18075,Alcohol-induced causes,A,19,231166,Unreliable
,"Jay County, IN",18075,All other non-drug and non-alcohol causes,O,2493,231166,1078.4
,"Jefferson County, IN",18077,Drug-induced causes,D,63,355732,17.7
,"Jefferson County, IN",18077,Alcohol-induced causes,A,57,355732,16
,"Jefferson County, IN",18077,All other non-drug and non-alcohol causes,O,4068,355732,1143.6
,"Jennings County, IN",18079,Drug-induced causes,D,96,307265,31.2
,"Jennings County, IN",18079,Alcohol-induced causes,A,37,307265,12
,"Jennings County, IN",18079,All other non-drug and non-alcohol causes,O,3146,307265,1023.9
,"Johnson County, IN",18081,Drug-induced causes,D,336,1648085,20.4
,"Johnson County, IN",18081,Alcohol-induced causes,A,115,1648085,7
,"Johnson County, IN",18081,All other non-drug and non-alcohol causes,O,14024,1648085,850.9
,"Knox County, IN",18083,Drug-induced causes,D,54,414144,13
,"Knox County, IN",18083,Alcohol-induced causes,A,29,414144,7
,"Knox County, IN",18083,All other non-drug and non-alcohol causes,O,4957,414144,1196.9
,"Kosciusko County, IN",18085,Drug-induced causes,D,107,863536,12.4
,"Kosciusko County, IN",18085,Alcohol-induced causes,A,69,863536,8
,"Kosciusko County, IN",18085,All other non-drug and non-alcohol causes,O,7745,863536,896.9
,"Lagrange County, IN",18087,Drug-induced causes,D,20,424748,4.7
,"Lagrange County, IN",18087,Alcohol-induced causes,A,18,424748,Unreliable
,"Lagrange County, IN",18087,All other non-drug and non-alcohol causes,O,2978,424748,701.1
,"Lake County, IN",18089,Drug-induced causes,D,1109,5383656,20.6
,"Lake County, IN",18089,Alcohol-induced causes,A,507,5383656,9.4
,"Lake County, IN",18089,All other non-drug and non-alcohol causes,O,53179,5383656,987.8
,"La Porte County, IN",18091,Drug-induced causes,D,286,1217298,23.5
,"La Porte County, IN",18091,Alcohol-induced causes,A,170,1217298,14
,"La Porte County, IN",18091,All other non-drug and non-alcohol causes,O,12958,1217298,1064.5
,"Lawrence County, IN",18093,Drug-induced causes,D,72,503168,14.3
,"Lawrence County, IN",18093,Alcohol-induced causes,A,51,503168,10.1
,"Lawrence County, IN",18093,All other non-drug and non-alcohol causes,O,6060,503168,1204.4
,"Madison County, IN",18095,Drug-induced causes,D,468,1431178,32.7
,"Madison County, IN",18095,Alcohol-induced causes,A,215,1431178,15
,"Madison County, IN",18095,All other non-drug and non-alcohol causes,O,16255,1431178,1135.8
,"Marion County, IN",18097,Drug-induced causes,D,3278,10311956,31.8
,"Marion County, IN",18097,Alcohol-induced causes,A,1418,10311956,13.8
,"Marion County, IN",18097,All other non-drug and non-alcohol causes,O,84964,10311956,823.9
,"Marshall County, IN",18099,Drug-induced causes,D,70,513866,13.6
,"Marshall County, IN",18099,Alcohol-induced causes,A,43,513866,8.4
,"Marshall County, IN",18099,All other non-drug and non-alcohol causes,O,5031,513866,979
,"Martin County, IN",18101,Drug-induced causes,D,14,112452,Unreliable
,"Martin County, IN",18101,Alcohol-induced causes,A,Suppressed,112452,Suppressed
,"Martin County, IN",18101,All other non-drug and non-alcohol causes,O,1159,112452,1030.7
,"Miami County, IN",18103,Drug-induced causes,D,56,396095,14.1
,"Miami County, IN",18103,Alcohol-induced causes,A,35,396095,8.8
,"Miami County, IN",18103,All other non-drug and non-alcohol causes,O,4074,396095,1028.5
,"Monroe County, IN",18105,Drug-induced causes,D,296,1584773,18.7
,"Monroe County, IN",18105,Alcohol-induced causes,A,156,1584773,9.8
,"Monroe County, IN",18105,All other non-drug and non-alcohol causes,O,9933,1584773,626.8
,"Montgomery County, IN",18107,Drug-induced causes,D,111,421017,26.4
,"Montgomery County, IN",18107,Alcohol-induced causes,A,20,421017,4.8
,"Montgomery County, IN",18107,All other non-drug and non-alcohol causes,O,4358,421017,1035.1
,"Morgan County, IN",18109,Drug-induced causes,D,214,767560,27.9
,"Morgan County, IN",18109,Alcohol-induced causes,A,60,767560,7.8
,"Morgan County, IN",18109,All other non-drug and non-alcohol causes,O,7356,767560,958.4
,"Newton County, IN",18111,Drug-induced causes,D,32,154656,20.7
,"Newton County, IN",18111,Alcohol-induced causes,A,15,154656,Unreliable
,"Newton County, IN",18111,All other non-drug and non-alcohol causes,O,1754,154656,1134.1
,"Noble County, IN",18113,Drug-induced causes,D,56,523790,10.7
,"Noble County, IN",18113,Alcohol-induced causes,A,38,523790,7.3
,"Noble County, IN",18113,All other non-drug and non-alcohol causes,O,4916,523790,938.5
,"Ohio County, IN",18115,Drug-induced causes,D,15,65610,Unreliable
,"Ohio County, IN",18115,Alcohol-induced causes,A,Suppressed,65610,Suppressed
,"Ohio County, IN",18115,All other non-drug and non-alcohol causes,O,691,65610,1053.2
,"Orange County, IN",18117,Drug-induced causes,D,25,216050,11.6
,"Orange County, IN",18117,Alcohol-induced causes,A,18,216050,Unreliable
,"Orange County, IN",18117,All other non-drug and non-alcohol causes,O,2523,216050,1167.8
,"Owen County, IN",18119,Drug-induced causes,D,37,231652,16
,"Owen County, IN",18119,Alcohol-induced causes,A,32,231652,13.8
,"Owen County, IN",18119,All other non-drug and non-alcohol causes,O,2565,231652,1107.3
,"Parke County, IN",18121,Drug-induced causes,D,20,187402,10.7
,"Parke County, IN",18121,Alcohol-induced causes,A,19,187402,Unreliable
,"Parke County, IN",18121,All other non-drug and non-alcohol causes,O,1721,187402,918.3
,"Perry County, IN",18123,Drug-induced causes,D,25,211985,11.8
,"Perry County, IN",18123,Alcohol-induced causes,A,18,211985,Unreliable
,"Perry County, IN",18123,All other non-drug and non-alcohol causes,O,2316,211985,1092.5
,"Pike County, IN",18125,Drug-induced causes,D,15,138213,Unreliable
,"Pike County, IN",18125,Alcohol-induced causes,A,14,138213,Unreliable
,"Pike County, IN",18125,All other non-drug and non-alcohol causes,O,1616,138213,1169.2
,"Porter County, IN",18127,Drug-induced causes,D,425,1844041,23
,"Porter County, IN",18127,Alcohol-induced causes,A,165,1844041,8.9
,"Porter County, IN",18127,All other non-drug and non-alcohol causes,O,15681,1844041,850.4
,"Posey County, IN",18129,Drug-induced causes,D,28,281080,10
,"Posey County, IN",18129,Alcohol-induced causes,A,21,281080,7.5
,"Posey County, IN",18129,All other non-drug and non-alcohol causes,O,2635,281080,937.5
,"Pulaski County, IN",18131,Drug-induced causes,D,39,141156,27.6
,"Pulaski County, IN",18131,Alcohol-induced causes,A,15,141156,Unreliable
,"Pulaski County, IN",18131,All other non-drug and non-alcohol causes,O,1690,141156,1197.3
,"Putnam County, IN",18133,Drug-induced causes,D,56,414300,13.5
,"Putnam County, IN",18133,Alcohol-induced causes,A,31,414300,7.5
,"Putnam County, IN",18133,All other non-drug and non-alcohol causes,O,3917,414300,945.5
,"Randolph County, IN",18135,Drug-induced causes,D,83,277985,29.9
,"Randolph County, IN",18135,Alcohol-induced causes,A,33,277985,11.9
,"Randolph County, IN",18135,All other non-drug and non-alcohol causes,O,3301,277985,1187.5
,"Ripley County, IN",18137,Drug-induced causes,D,76,314360,24.2
,"Ripley County, IN",18137,Alcohol-induced causes,A,18,314360,Unreliable
,"Ripley County, IN",18137,All other non-drug and non-alcohol causes,O,3338,314360,1061.8
,"Rush County, IN",18139,Drug-induced causes,D,32,185529,17.2
,"Rush County, IN",18139,Alcohol-induced causes,A,16,185529,Unreliable
,"Rush County, IN",18139,All other non-drug and non-alcohol causes,O,2140,185529,1153.5
,"St. Joseph County, IN",18141,Drug-induced causes,D,581,2956399,19.7
,"St. Joseph County, IN",18141,Alcohol-induced causes,A,500,2956399,16.9
,"St. Joseph County, IN",18141,All other non-drug and non-alcohol causes,O,28581,2956399,966.8
,"Scott County, IN",18143,Drug-induced causes,D,144,262526,54.9
,"Scott County, IN",18143,Alcohol-induced causes,A,36,262526,13.7
,"Scott County, IN",18143,All other non-drug and non-alcohol causes,O,3313,262526,1262
,"Shelby County, IN",18145,Drug-induced causes,D,105,489942,21.4
,"Shelby County, IN",18145,Alcohol-induced causes,A,54,489942,11
,"Shelby County, IN",18145,All other non-drug and non-alcohol causes,O,4964,489942,1013.2
,"Spencer County, IN",18147,Drug-induced causes,D,14,227081,Unreliable
,"Spencer County, IN",18147,Alcohol-induced causes,A,20,227081,8.8
,"Spencer County, IN",18147,All other non-drug and non-alcohol causes,O,2149,227081,946.4
,"Starke County, IN",18149,Drug-induced causes,D,101,253885,39.8
,"Starke County, IN",18149,Alcohol-induced causes,A,19,253885,Unreliable
,"Starke County, IN",18149,All other non-drug and non-alcohol causes,O,2957,253885,1164.7
,"Steuben County, IN",18151,Drug-induced causes,D,34,377986,9
,"Steuben County, IN",18151,Alcohol-induced causes,A,28,377986,7.4
,"Steuben County, IN",18151,All other non-drug and non-alcohol causes,O,3460,377986,915.4
,"Sullivan County, IN",18153,Drug-induced causes,D,45,230705,19.5
,"Sullivan County, IN",18153,Alcohol-induced causes,A,13,230705,Unreliable
,"Sullivan County, IN",18153,All other non-drug and non-alcohol causes,O,2570,230705,1114
,"Switzerland County, IN",18155,Drug-induced causes,D,29,116523,24.9
,"Switzerland County, IN",18155,Alcohol-induced causes,A,Suppressed,116523,Suppressed
,"Switzerland County, IN",18155,All other non-drug and non-alcohol causes,O,1146,116523,983.5
,"Tippecanoe County, IN",18157,Drug-induced causes,D,329,2037632,16.1
,"Tippecanoe County, IN",18157,Alcohol-induced causes,A,114,2037632,5.6
,"Tippecanoe County, IN",18157,All other non-drug and non-alcohol causes,O,12724,2037632,624.5
,"Tipton County, IN",18159,Drug-induced causes,D,30,169564,17.7
,"Tipton County, IN",18159,Alcohol-induced causes,A,13,169564,Unreliable
,"Tipton County, IN",18159,All other non-drug and non-alcohol causes,O,1920,169564,1132.3
,"Union County, IN",18161,Drug-induced causes,D,27,79718,33.9
,"Union County, IN",18161,Alcohol-induced causes,A,Suppressed,79718,Suppressed
,"Union County, IN",18161,All other non-drug and non-alcohol causes,O,816,79718,1023.6
,"Vanderburgh County, IN",18163,Drug-induced causes,D,516,1994356,25.9
,"Vanderburgh County, IN",18163,Alcohol-induced causes,A,225,1994356,11.3
,"Vanderburgh County, IN",18163,All other non-drug and non-alcohol causes,O,21176,1994356,1061.8
,"Vermillion County, IN",18165,Drug-induced causes,D,30,173202,17.3
,"Vermillion County, IN",18165,Alcohol-induced causes,A,17,173202,Unreliable
,"Vermillion County, IN",18165,All other non-drug and non-alcohol causes,O,2267,173202,1308.9
,"Vigo County, IN",18167,Drug-induced causes,D,205,1185299,17.3
,"Vigo County, IN",18167,Alcohol-induced causes,A,122,1185299,10.3
,"Vigo County, IN",18167,All other non-drug and non-alcohol causes,O,12580,1185299,1061.3
,"Wabash County, IN",18169,Drug-induced causes,D,79,350870,22.5
,"Wabash County, IN",18169,Alcohol-induced causes,A,29,350870,8.3
,"Wabash County, IN",18169,All other non-drug and non-alcohol causes,O,4780,350870,1362.3
,"Warren County, IN",18171,Drug-induced causes,D,11,91406,Unreliable
,"Warren County, IN",18171,Alcohol-induced causes,A,Suppressed,91406,Suppressed
,"Warren County, IN",18171,All other non-drug and non-alcohol causes,O,904,91406,989
,"Warrick County, IN",18173,Drug-induced causes,D,63,678384,9.3
,"Warrick County, IN",18173,Alcohol-induced causes,A,47,678384,6.9
,"Warrick County, IN",18173,All other non-drug and non-alcohol causes,O,6231,678384,918.5
,"Washington County, IN",18175,Drug-induced causes,D,82,307504,26.7
,"Washington County, IN",18175,Alcohol-induced causes,A,32,307504,10.4
,"Washington County, IN",18175,All other non-drug and non-alcohol causes,O,3325,307504,1081.3
,"Wayne County, IN",18177,Drug-induced causes,D,353,738822,47.8
,"Wayne County, IN",18177,Alcohol-induced causes,A,122,738822,16.5
,"Wayne County, IN",18177,All other non-drug and non-alcohol causes,O,9213,738822,1247
,"Wells County, IN",18179,Drug-induced causes,D,52,307239,16.9
,"Wells County, IN",18179,Alcohol-induced causes,A,14,307239,Unreliable
,"Wells County, IN",18179,All other non-drug and non-alcohol causes,O,3217,307239,1047.1
,"White County, IN",18181,Drug-induced causes,D,54,267556,20.2
,"White County, IN",18181,Alcohol-induced causes,A,25,267556,9.3
,"White County, IN",18181,All other non-drug and non-alcohol causes,O,3072,267556,1148.2
,"Whitley County, IN",18183,Drug-induced causes,D,39,369750,10.5
,"Whitley County, IN",18183,Alcohol-induced causes,A,24,369750,6.5
,"Whitley County, IN",18183,All other non-drug and non-alcohol causes,O,3435,369750,929
,"Adair County, IA",19001,Drug-induced causes,D,Suppressed,80264,Suppressed
,"Adair County, IA",19001,Alcohol-induced causes,A,Suppressed,80264,Suppressed
,"Adair County, IA",19001,All other non-drug and non-alcohol causes,O,1183,80264,1473.9
,"Adams County, IA",19003,Drug-induced causes,D,Suppressed,41723,Suppressed
,"Adams County, IA",19003,Alcohol-induced causes,A,Suppressed,41723,Suppressed
,"Adams County, IA",19003,All other non-drug and non-alcohol causes,O,515,41723,1234.3
,"Allamakee County, IA",19005,Drug-induced causes,D,12,153863,Unreliable
,"Allamakee County, IA",19005,Alcohol-induced causes,A,16,153863,Unreliable
,"Allamakee County, IA",19005,All other non-drug and non-alcohol causes,O,1887,153863,1226.4
,"Appanoose County, IA",19007,Drug-induced causes,D,22,138373,15.9
,"Appanoose County, IA",19007,Alcohol-induced causes,A,18,138373,Unreliable
,"Appanoose County, IA",19007,All other non-drug and non-alcohol causes,O,1853,138373,1339.1
,"Audubon County, IA",19009,Drug-induced causes,D,Suppressed,63242,Suppressed
,"Audubon County, IA",19009,Alcohol-induced causes,A,Suppressed,63242,Suppressed
,"Audubon County, IA",19009,All other non-drug and non-alcohol causes,O,911,63242,1440.5
,"Benton County, IA",19011,Drug-induced causes,D,14,283074,Unreliable
,"Benton County, IA",19011,Alcohol-induced causes,A,24,283074,8.5
,"Benton County, IA",19011,All other non-drug and non-alcohol causes,O,2627,283074,928
,"Black Hawk County, IA",19013,Drug-induced causes,D,131,1453331,9
,"Black Hawk County, IA",19013,Alcohol-induced causes,A,183,1453331,12.6
,"Black Hawk County, IA",19013,All other non-drug and non-alcohol causes,O,13261,1453331,912.5
,"Boone County, IA",19015,Drug-induced causes,D,21,290069,7.2
,"Boone County, IA",19015,Alcohol-induced causes,A,25,290069,8.6
,"Boone County, IA",19015,All other non-drug and non-alcohol causes,O,3229,290069,1113.2
,"Bremer County, IA",19017,Drug-induced causes,D,17,272132,Unreliable
,"Bremer County, IA",19017,Alcohol-induced causes,A,22,272132,8.1
,"Bremer County, IA",19017,All other non-drug and non-alcohol causes,O,2460,272132,904
,"Buchanan County, IA",19019,Drug-induced causes,D,22,231754,9.5
,"Buchanan County, IA",19019,Alcohol-induced causes,A,20,231754,8.6
,"Buchanan County, IA",19019,All other non-drug and non-alcohol causes,O,2294,231754,989.8
,"Buena Vista County, IA",19021,Drug-induced causes,D,Suppressed,222604,Suppressed
,"Buena Vista County, IA",19021,Alcohol-induced causes,A,11,222604,Unreliable
,"Buena Vista County, IA",19021,All other non-drug and non-alcohol causes,O,2048,222604,920
,"Butler County, IA",19023,Drug-induced causes,D,11,162442,Unreliable
,"Butler County, IA",19023,Alcohol-induced causes,A,11,162442,Unreliable
,"Butler County, IA",19023,All other non-drug and non-alcohol causes,O,2039,162442,1255.2
,"Calhoun County, IA",19025,Drug-induced causes,D,Suppressed,107247,Suppressed
,"Calhoun County, IA",19025,Alcohol-induced causes,A,13,107247,Unreliable
,"Calhoun County, IA",19025,All other non-drug and non-alcohol causes,O,1515,107247,1412.6
,"Carroll County, IA",19027,Drug-induced causes,D,17,224956,Unreliable
,"Carroll County, IA",19027,Alcohol-induced causes,A,19,224956,Unreliable
,"Carroll County, IA",19027,All other non-drug and non-alcohol causes,O,2660,224956,1182.5
,"Cass County, IA",19029,Drug-induced causes,D,15,146854,Unreliable
,"Cass County, IA",19029,Alcohol-induced causes,A,21,146854,14.3
,"Cass County, IA",19029,All other non-drug and non-alcohol causes,O,2187,146854,1489.2
,"Cedar County, IA",19031,Drug-induced causes,D,10,203195,Unreliable
,"Cedar County, IA",19031,Alcohol-induced causes,A,15,203195,Unreliable
,"Cedar County, IA",19031,All other non-drug and non-alcohol causes,O,1975,203195,972
,"Cerro Gordo County, IA",19033,Drug-induced causes,D,66,474999,13.9
,"Cerro Gordo County, IA",19033,Alcohol-induced causes,A,94,474999,19.8
,"Cerro Gordo County, IA",19033,All other non-drug and non-alcohol causes,O,5533,474999,1164.8
,"Cherokee County, IA",19035,Drug-induced causes,D,Suppressed,128012,Suppressed
,"Cherokee County, IA",19035,Alcohol-induced causes,A,12,128012,Unreliable
,"Cherokee County, IA",19035,All other non-drug and non-alcohol causes,O,1774,128012,1385.8
,"Chickasaw County, IA",19037,Drug-induced causes,D,Suppressed,133605,Suppressed
,"Chickasaw County, IA",19037,Alcohol-induced causes,A,Suppressed,133605,Suppressed
,"Chickasaw County, IA",19037,All other non-drug and non-alcohol causes,O,1521,133605,1138.4
,"Clarke County, IA",19039,Drug-induced causes,D,11,102667,Unreliable
,"Clarke County, IA",19039,Alcohol-induced causes,A,13,102667,Unreliable
,"Clarke County, IA",19039,All other non-drug and non-alcohol causes,O,1205,102667,1173.7
,"Clay County, IA",19041,Drug-induced causes,D,10,179998,Unreliable
,"Clay County, IA",19041,Alcohol-induced causes,A,26,179998,14.4
,"Clay County, IA",19041,All other non-drug and non-alcohol causes,O,2107,179998,1170.6
,"Clayton County, IA",19043,Drug-induced causes,D,14,194740,Unreliable
